epoch_utc,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,ax_mps2,ay_mps2,az_mps2
2025-01-01T00:01:51.000000Z,3678698.7558133006,1684027.1619179654,5007905.395078105,-2338.605244111968,-3045.2698410101,1789.7904689270072,-5.570873311837204,-2.1443583397194743,-6.991465906845406
2025-01-01T00:01:52.000000Z,3676357.36503951,1680980.8198473777,5009691.6897071535,-2344.1727308724076,-3047.411057481658,1782.7996795955114,-5.563699937425554,-2.137858103262261,-6.989651656942442
2025-01-01T00:01:53.000000Z,3674010.410351556,1677932.339803002,5011470.994437296,-2349.7326439868193,-3049.5455572166247,1775.8111656131225,-5.555665197316557,-2.1308928172220476,-6.9868430274073035
2025-01-01T00:01:54.000000Z,3671657.899751537,1674881.7287329445,5013243.31203838,-2355.2840612670407,-3051.6728431161027,1768.8259935406968,-5.5466377950506285,-2.123393387068063,-6.98288398119621
2025-01-01T00:01:55.000000Z,3669299.8422290217,1671828.99411677,5015008.646424377,-2360.825919576921,-3053.792343990761,1761.84539765073,-5.536465533543378,-2.115279912017286,-6.977593160467222
2025-01-01T00:01:56.000000Z,3666936.2479123822,1668774.144044963,5016767.002833681,-2366.3569923341274,-3055.9034029401373,1754.8708072197624,-5.524971839040518,-2.106459916336462,-6.970759604126215
2025-01-01T00:01:57.000000Z,3664567.1282443535,1665717.1873108896,5018518.388038817,-2371.8758632550016,-3058.005263823434,1747.9038784424774,-5.51195168972481,-2.0968262807582505,-6.962137726834044
2025-01-01T00:01:58.000000Z,3662192.4961858727,1662658.133517316,5020262.810590566,-2377.380895713577,-3060.097055501654,1740.9465317660945,-5.497166840941645,-2.0862548197619617,-6.951441418146715
2025-01-01T00:01:59.000000Z,3659812.3664529263,1659596.9931998863,5022000.281102349,-2382.870196936885,-3062.1777734629577,1734.000995606184,-5.480340221780352,-2.0746014448814094,-6.938337104627863
2025-01-01T00:02:00.000000Z,3657426.755791999,1656533.7779703902,5023730.8125817785,-2388.3415761571378,-3064.2462583914166,1727.0698575568383,-5.4611493644770235,-2.061698842793703,-6.922435597283766
2025-01-01T00:02:01.000000Z,3655035.683300612,1653468.5006831037,5025454.420817463,-2393.792495665839,-3066.301171148545,1720.1561244116165,-5.439218686078675,-2.047352578258142,-6.903282509883866
2025-01-01T00:02:02.000000Z,3652639.1708006673,1650401.175628093,5027171.124830602,-2399.220013529295,-3068.340963547933,1713.2632925370708,-5.414110428071581,-2.03133652562974,-6.88034699880518
2025-01-01T00:02:03.000000Z,3650237.2432735534,1647331.8187560076,5028880.947402537,-2404.620716521982,-3070.3638441998046,1706.395430414006,-5.3369266542140394,-1.9872614137129856,-6.797192014520988
2025-01-01T00:02:04.000000Z,3647829.9293676233,1644260.4479396937,5030583.91569143,-2409.893866837723,-3072.315486375359,1699.6689085080288,-5.176373092457652,-1.898318413819652,-6.617491175653413
2025-01-01T00:02:05.000000Z,3645417.455539878,1641187.1877832569,5032280.285219553,-2414.9734627068974,-3074.160481027444,1693.1604480626993,-5.018989825504832,-1.8113675834028984,-6.440727178473026
2025-01-01T00:02:06.000000Z,3642999.9824422095,1638112.1269776386,5033970.236587555,-2419.931846488733,-3075.9382215421647,1686.7874541510828,-4.9146349331131205,-1.753345568838995,-6.3243750291876495
2025-01-01T00:02:07.000000Z,3640577.591846901,1635035.3113401723,5035653.860127855,-2424.8027325731236,-3077.667172165122,1680.511698004324,-4.820989954518154,-1.7013666606508195,-6.21971675963141
2025-01-01T00:02:08.000000Z,3638150.3769770632,1631956.7926333083,5037331.259983564,-2429.573826397769,-3079.3409548634663,1674.34802063182,-4.7142151184380054,-1.6424728141864762,-6.099082053871825
2025-01-01T00:02:09.000000Z,3635718.444194105,1628876.6294304456,5039002.556169119,-2434.2311628099997,-3080.952117793495,1668.3135338965803,-4.593298661522567,-1.5747249115956947,-5.959724461426958
2025-01-01T00:02:10.000000Z,3633281.9146514433,1625794.888397721,5040667.887051357,-2438.7604237208143,-3082.4904046866577,1662.428571708966,-4.45906901860144,-1.4939145584357902,-5.797740689478815
2025-01-01T00:02:11.000000Z,3630840.9233466634,1622711.6486210723,5042327.413312537,-2443.1493008472025,-3083.9399469103664,1656.7180525176227,-4.314298623939976,-1.3934702618280426,-5.608107999665663
2025-01-01T00:02:12.000000Z,3628395.616049749,1619627.0085039006,5043981.323156392,-2447.3890209686942,-3085.277345210314,1651.2123557096347,-4.163511526421644,-1.2647710950113833,-5.385057129897177
2025-01-01T00:02:13.000000Z,3625946.145304726,1616541.0939306517,5045629.838023956,-2451.476323900046,-3086.469489100389,1645.9479382578284,-4.014072442892939,-1.096367487043608,-5.122323509538546
2025-01-01T00:02:14.000000Z,3623492.6634019488,1613454.0695256998,5047273.219032908,-2455.41716585448,-3087.470080184401,1640.9677086905576,-3.8776518469676375,-0.8731238762266003,-4.813847942976281
2025-01-01T00:02:15.000000Z,3621035.310973017,1610366.1537702829,5048911.773441337,-2459.231627593981,-3088.2157368528424,1636.3202423718758,-3.771050120936706,-0.5763402577140369,-4.455413092859089
2025-01-01T00:02:16.000000Z,3618574.200146761,1607277.638051994,5050545.859517652,-2462.9592660963535,-3088.622760699829,1632.0568825048397,-3.7154194527538498,-0.1855123722925782,-4.0470276842825115
2025-01-01T00:02:17.000000Z,3616109.392440824,1604188.9082488832,5052175.887206347,-2466.662466499489,-3088.5867615974275,1628.2261870033108,-3.731301123742014,0.316895728406962,-3.59473843825981
2025-01-01T00:02:18.000000Z,3613640.875213762,1601100.4645287993,5053802.311891658,-2470.4218683438376,-3087.988969243015,1624.8674056283198,-3.824777857400477,0.9359495181706734,-3.107882826589048
